r_phase, v_phase
0.0001019405114987,0.0019025886295871
0.0001038038026063,0.0018773110996027
0.0001056674137426,0.0018127870891165
0.0001073545060860,0.0016237159261457
0.0001088969213142,0.0015070052513773
0.0001103491699664,0.0013875745904017
0.0001118063477197,0.0013890092484144
0.0001131294505817,0.0013907808119179
0.0001143946317215,0.0012111034570772
0.0001155020353010,0.0010533517533994
0.0001165200915960,0.0009271259307528
0.0001174470177003,0.0009249541456239
0.0001184201965649,0.0008241101397399
0.0001191711796358,0.0006214141266990
0.0001198526812659,0.0006361556017918
0.0001203703793552,0.0005489138532958
0.0001208654765557,0.0004129497320499
0.0001212322764669,0.0002745094377704
0.0001215111061845,0.0002722334371555
0.0001217723742276,0.0001961517900150
0.0001218594065478,0.0000112629881023
0.0001218791646899,0.0000505394777580
0.0001218857876027,-0.0000238788668402
0.0001218438631250,-0.0000509044927404
0.0001217698889419,-0.0000601500263794
0.0001216771732614,-0.0000668160734441
0.0001215690675635,-0.0000785063636170
0.0001215518757950,-0.0000619887654239
0.0001214805477829,-0.0000848864636168
0.0001213581584877,-0.0001587856640411
0.0001211371336938,-0.0001739398655045
0.0001209728221680,-0.0001999881200311
0.0001207484753003,-0.0001922533482871
0.0001205162662458,-0.0003193856989368
0.0001201864521361,-0.0004118309157174
0.0001197606337646,-0.0005163729184270
0.0001192233944124,-0.0006629895221198
0.0001185882808107,-0.0005902512520060
0.0001180257031293,-0.0005696482750504
0.0001174606033537,-0.0005839174447786
0.0001169671101490,-0.0005842557521279
0.0001163078199167,-0.0006773411700764
0.0001156258459991,-0.0006976918036456
0.0001150112362033,-0.0006857244923519
0.0001143615310509,-0.0006658743215803
0.0001136406181375,-0.0007782937962014
0.0001128231994966,-0.0008749936901130
0.0001119131207331,-0.0009003021972413
0.0001109469706711,-0.0009566384629631
0.0001100471591349,-0.0009402735095104
0.0001090717635855,-0.0009395719716546
0.0001081355958197,-0.0008812114785044
0.0001073004411812,-0.0008047976874994
0.0001064537409687,-0.0009010749973320
0.0001055518593897,-0.0008600664865234
0.0001046863009646,-0.0008325509159209
0.0001038715562745,-0.0009204412777977
0.0001029175416547,-0.0009885998166380
0.0001019030594660,-0.0010460444703193
0.0001008926785593,-0.0010443824738832
0.0000998191157069,-0.0010566412939217
0.0000987270367006,-0.0009282859706746
0.0000978263251647,-0.0008338528022252
0.0000970047136923,-0.0009136018007573
0.0000960408568474,-0.0010178251862751
